A full comprehensive list of the route names and IDs to use for data analysis. Retrieved using nameretrievals.py.

Route Name: East Weymouth - Quincy Center Station, Route ID: 222
Route Name: Weymouth Landing - Quincy Center Station, Route ID: 225
Route Name: Columbian Square - Braintree Station, Route ID: 226
Route Name: Montello Station - Quincy Center Station, Route ID: 230
Route Name: South Shore Plaza - Quincy Center Station, Route ID: 236
Route Name: Holbrook/Randolph Station - Quincy Center Station, Route ID: 238
Route Name: Avon Square - Ashmont Station, Route ID: 240
Route Name: Quincy Center Station - Mattapan Station, Route ID: 245
Route Name: North Burlington - Alewife Station, Route ID: 350
Route Name: Bedford Woods Drive - Third Avenue, Route ID: 351
Route Name: North Burlington - State Street, Boston, Route ID: 354
Route Name: Kennedy Drive or Jack Satter House - Malden Center Station, Route ID: 411
Route Name: Eastern Avenue & Essex Street - Wonderland Station, Route ID: 424
Route Name: Central Square, Lynn - Haymarket or Wonderland Station, Route ID: 426
Route Name: Oaklandvale - Haymarket Station, Route ID: 428
Route Name: Northgate Shopping Center - Central Square, Lynn, Route ID: 429
Route Name: Saugus Center - Malden Center Station, Route ID: 430
Route Name: Liberty Tree Mall - Central Square, Lynn via Peabody Square, Route ID: 435
Route Name: Liberty Tree Mall - Central Square, Lynn via Goodwin Circle, Route ID: 436
Route Name: Nahant - Wonderland Station, Route ID: 439
Route Name: Marblehead - Wonderland Station via Paradise Road, Route ID: 441
Route Name: Marblehead - Wonderland Station via Humphrey Street, Route ID: 442
Route Name: Salem Depot - Wonderland or Haymarket Station, Route ID: 450
Route Name: North Beverly Station - Salem Depot, Route ID: 451
Route Name: Salem Depot - Wonderland Station, Route ID: 455
Route Name: Salem Depot - Central Square, Lynn, Route ID: 456
Route Name: Brighton Center - Federal Street & Franklin Street, Route ID: 501
Route Name: Watertown Yard - Federal Street & Franklin Street, Route ID: 504
Route Name: Waltham Center - Federal Street & Franklin Street, Route ID: 505
Route Name: Roberts - Newton Corner, Route ID: 553
Route Name: Waverley Square - Newton Corner, Route ID: 554
Route Name: Waltham Highlands - Newton Corner, Route ID: 556
Route Name: Riverside Station - Newton Corner, Route ID: 558
Route Name: Point Shirley - Orient Heights Station via Revere Street, Route ID: 712
Route Name: Point Shirley - Orient Heights Station via Winthrop Center, Route ID: 713
Route Name: Pemberton Point, Hull - Station Street, Hingham, Route ID: 714
Route Name: Cobbs Corner - Mattapan Station, Route ID: 716
